大分類,中分類,小分類,細分類,職業コード,職業
A 管理的職業
,01 管理的公務員,,,01,管理的公務員
,,011 管理的公務員,,011,管理的公務員
,,,011-01 議会議員,011-01,議会議員
,,,011-02 管理的国家公務員,011-02,管理的国家公務員
,,,011-03 管理的地方公務員,011-03,管理的地方公務員
,02 法人・団体の役員,,,02,法人・団体の役員
,,021 会社役員,,021,会社役員
,,,021-01 会社役員,021-01,会社役員
,,029 その他の法人・団体の役員,,029,その他の法人・団体の役員
,,,029-01 独立行政法人等の役員,029-01,独立行政法人等の役員
,,,029-99 他に分類されない法人・団体の役員,029-99,他に分類されない法人・団体の役員
,03 法人・団体の管理職員,,,03,法人・団体の管理職員
,,031 会社の管理職員,,031,会社の管理職員
,,,031-01 会社の管理職員,031-01,会社の管理職員
,,039 その他の法人・団体の管理職員,,039,その他の法人・団体の管理職員
,,,039-01 独立行政法人等の管理職員,039-01,独立行政法人等の管理職員
,,,039-02 福祉施設管理者,039-02,福祉施設管理者
,,,039-99 他に分類されない法人・団体の管理職員,039-99,他に分類されない法人・団体の管理職員
,04 その他の管理的職業,,,04,その他の管理的職業
,,049 その他の管理的職業,,049,その他の管理的職業
,,,049-99 その他の管理的職業,049-99,その他の管理的職業
大分類,中分類,小分類,細分類,職業コード,職業
B 専門的・技術的職業
,05 研究者,,,05,研究者
,,051 研究者,,051,研究者
,,,051-01 理学研究者,051-01,理学研究者
,,,051-02 工学研究者,051-02,工学研究者
,,,051-03 農学・林学・水産学研究者,051-03,農学・林学・水産学研究者
,,,051-04 医学研究者,051-04,医学研究者
,,,051-05 人文科学研究者,051-05,人文科学研究者
,,,051-06 社会科学研究者,051-06,社会科学研究者
,,,051-99 他に分類されない研究者,051-99,他に分類されない研究者
,06 農林水産技術者,,,06,農林水産技術者
,,061 農林水産技術者,,061,農林水産技術者
,,,061-01 農業技術者,061-01,農業技術者
,,,061-02 畜産技術者,061-02,畜産技術者
,,,061-03 林業技術者,061-03,林業技術者
,,,061-04 水産技術者,061-04,水産技術者
,07 開発技術者,,,07,開発技術者
,,071 食品開発技術者,,071,食品開発技術者
,,,071-01 食品開発技術者,071-01,食品開発技術者
,,072 電気・電子・電気通信開発技術者（通信ネットワークを除く）,,072,電気・電子・電気通信開発技術者（通信ネットワークを除く）
,,,072-01 電気・電子・電気通信設計技術者,072-01,電気・電子・電気通信設計技術者
,,,072-99 他に分類されない電気・電子・電気通信開発技術者（通信ネットワークを除く）,072-99,他に分類されない電気・電子・電気通信開発技術者（通信ネットワークを除く）
,,073 機械開発技術者,,073,機械開発技術者
,,,073-01 機械設計技術者,073-01,機械設計技術者
,,,073-99 他に分類されない機械開発技術者,073-99,他に分類されない機械開発技術者
,,074 自動車開発技術者,,074,自動車開発技術者
,,,074-01 自動車設計技術者,074-01,自動車設計技術者
,,,074-99 他に分類されない自動車開発技術者,074-99,他に分類されない自動車開発技術者
,,075 輸送用機器開発技術者（自動車を除く）,,075,輸送用機器開発技術者（自動車を除く）
,,,075-01 輸送用機器開発技術者（自動車を除く）,075-01,輸送用機器開発技術者（自動車を除く）
,,076 金属製錬・材料開発技術者,,076,金属製錬・材料開発技術者
,,,076-01 金属製錬・材料開発技術者,076-01,金属製錬・材料開発技術者
,,077 化学品開発技術者,,077,化学品開発技術者
,,,077-01 化学品開発技術者,077-01,化学品開発技術者
,,079 その他の開発技術者,,079,その他の開発技術者
,,,079-01 窯業製品開発技術者,079-01,窯業製品開発技術者
,,,079-99 他に分類されない開発技術者,079-99,他に分類されない開発技術者
,08 製造技術者,,,08,製造技術者
,,081 食品製造技術者,,081,食品製造技術者
,,,081-01 食品製造技術者,081-01,食品製造技術者
,,082 電気・電子・電気通信製造技術者（通信ネットワークを除く）,,082,電気・電子・電気通信製造技術者（通信ネットワークを除く）
,,,082-01 電気・電子・電気通信機器生産技術者,082-01,電気・電子・電気通信機器生産技術者
,,,082-02 電気工事技術者,082-02,電気工事技術者
,,,082-99 他に分類されない電気・電子・電気通信製造技術者（通信ネットワークを除く）,082-99,他に分類されない電気・電子・電気通信製造技術者（通信ネットワークを除く）
,,083 機械製造技術者,,083,機械製造技術者
,,,083-01 機械生産技術者,083-01,機械生産技術者
,,,083-99 他に分類されない機械製造技術者,083-99,他に分類されない機械製造技術者
,,084 自動車製造技術者,,084,自動車製造技術者
,,,084-01 自動車生産技術者,084-01,自動車生産技術者
,,,084-99 他に分類されない自動車製造技術者,084-99,他に分類されない自動車製造技術者
,,085 輸送用機器製造技術者（自動車を除く）,,085,輸送用機器製造技術者（自動車を除く）
,,,085-01 輸送用機器製造技術者（自動車を除く）,085-01,輸送用機器製造技術者（自動車を除く）
,,086 金属製錬・材料製造技術者,,086,金属製錬・材料製造技術者
,,,086-01 金属製錬・材料製造技術者,086-01,金属製錬・材料製造技術者
,,087 化学品製造技術者,,087,化学品製造技術者
,,,087-01 化学品生産技術者,087-01,化学品生産技術者
,,,087-02 分析化学技術者,087-02,分析化学技術者
,,,087-99 他に分類されない化学品製造技術者,087-99,他に分類されない化学品製造技術者
,,089 その他の製造技術者,,089,その他の製造技術者
,,,089-01 窯業製品製造技術者,089-01,窯業製品製造技術者
,,,089-99 他に分類されない製造技術者,089-99,他に分類されない製造技術者
,09 建築・土木・測量技術者,,,09,建築・土木・測量技術者
,,091 建築技術者,,091,建築技術者
,,,091-01 建築設計技術者,091-01,建築設計技術者
,,,091-02 建築工事監督,091-02,建築工事監督
,,,091-99 他に分類されない建築技術者,091-99,他に分類されない建築技術者
,,092 土木技術者,,092,土木技術者
,,,092-01 土木設計技術者,092-01,土木設計技術者
,,,092-02 土木工事監督,092-02,土木工事監督
,,,092-99 他に分類されない土木技術者,092-99,他に分類されない土木技術者
,,093 測量技術者,,093,測量技術者
,,,093-01 測量士,093-01,測量士
,,,093-98 測量士補,093-98,測量士補
,10 情報処理・通信技術者,,,10,情報処理・通信技術者
,,101 システムコンサルタント,,101,システムコンサルタント
,,,101-01 システムコンサルタント,101-01,システムコンサルタント
,,102 システム設計技術者,,102,システム設計技術者
,,,102-01 システム設計技術者,102-01,システム設計技術者
,,103 情報処理プロジェクトマネージャ,,103,情報処理プロジェクトマネージャ
,,,103-01 情報処理プロジェクトマネージャ,103-01,情報処理プロジェクトマネージャ
,,104 ソフトウェア開発技術者,,104,ソフトウェア開発技術者
,,,104-01 ソフトウェア開発技術者（WEB・オープン系）,104-01,ソフトウェア開発技術者（WEB・オープン系）
,,,104-02 ソフトウェア開発技術者（組込・制御系）,104-02,ソフトウェア開発技術者（組込・制御系）
,,,104-03 ソフトウェア開発技術者（汎用機系）,104-03,ソフトウェア開発技術者（汎用機系）
,,,104-04 プログラマー,104-04,プログラマー
,,,104-99 他に分類されないソフトウェア開発技術者,104-99,他に分類されないソフトウェア開発技術者
,,105 システム運用管理者,,105,システム運用管理者
,,,105-01 システム運用管理者,105-01,システム運用管理者
,,106 通信ネットワーク技術者,,106,通信ネットワーク技術者
,,,106-01 通信ネットワーク技術者,106-01,通信ネットワーク技術者
,,109 その他の情報処理・通信技術者,,109,その他の情報処理・通信技術者
,,,109-99 その他の情報処理・通信技術者,109-99,その他の情報処理・通信技術者
,11 その他の技術者,,,11,その他の技術者
,,119 その他の技術者,,119,その他の技術者
,,,119-01 労働安全衛生技術者,119-01,労働安全衛生技術者
,,,119-02 環境衛生技術者,119-02,環境衛生技術者
,,,119-99 他に分類されない技術者,119-99,他に分類されない技術者
,12 医師、歯科医師、獣医師、薬剤師,,,12,医師、歯科医師、獣医師、薬剤師
,,121 医師,,121,医師
,,,121-01 医師,121-01,医師
,,122 歯科医師,,122,歯科医師
,,,122-01 歯科医師,122-01,歯科医師
,,123 獣医師,,123,獣医師
,,,123-01 獣医師,123-01,獣医師
,,124 薬剤師,,124,薬剤師
,,,124-01 薬剤師（調剤）,124-01,薬剤師（調剤）
,,,124-02 薬剤師（医薬品販売）,124-02,薬剤師（医薬品販売）
,,,124-99 他に分類されない薬剤師,124-99,他に分類されない薬剤師
,13 保健師、助産師、看護師,,,13,保健師、助産師、看護師
,,131 保健師,,131,保健師
,,,131-01 保健師,131-01,保健師
,,132 助産師,,132,助産師
,,,132-01 助産師,132-01,助産師
,,133 看護師、准看護師,,133,看護師、准看護師
,,,133-01 看護師,133-01,看護師
,,,133-02 准看護師,133-02,准看護師
,14 医療技術者,,,14,医療技術者
,,141 診療放射線技師,,141,診療放射線技師
,,,141-01 診療放射線技師,141-01,診療放射線技師
,,142 臨床工学技士,,142,臨床工学技士
,,,142-01 臨床工学技士,142-01,臨床工学技士
,,143 臨床検査技師,,143,臨床検査技師
,,,143-01 臨床検査技師,143-01,臨床検査技師
,,144 理学療法士,,144,理学療法士
,,,144-01 理学療法士,144-01,理学療法士
,,145 作業療法士,,145,作業療法士
,,,145-01 作業療法士,145-01,作業療法士
,,146 視能訓練士、言語聴覚士,,146,視能訓練士、言語聴覚士
,,,146-01 視能訓練士,146-01,視能訓練士
,,,146-02 言語聴覚士,146-02,言語聴覚士
,,147 歯科衛生士,,147,歯科衛生士
,,,147-01 歯科衛生士,147-01,歯科衛生士
,,148 歯科技工士,,148,歯科技工士
,,,148-01 歯科技工士,148-01,歯科技工士
,15 その他の保健医療の職業,,,15,その他の保健医療の職業
,,151 栄養士、管理栄養士,,151,栄養士、管理栄養士
,,,151-01 栄養士,151-01,栄養士
,,,151-02 管理栄養士,151-02,管理栄養士
,,152 あん摩マッサージ指圧師、はり師、きゅう師,,152,あん摩マッサージ指圧師、はり師、きゅう師
,,,152-01 あん摩マッサージ指圧師,152-01,あん摩マッサージ指圧師
,,,152-02 はり師,152-02,はり師
,,,152-03 きゅう師,152-03,きゅう師
,,153 柔道整復師,,153,柔道整復師
,,,153-01 柔道整復師,153-01,柔道整復師
,,159 他に分類されない保健医療の職業,,159,他に分類されない保健医療の職業
,,,159-01 義肢装具士,159-01,義肢装具士
,,,159-99 他に分類されないその他の保健医療の職業,159-99,他に分類されないその他の保健医療の職業
,16 社会福祉の専門的職業,,,16,社会福祉の専門的職業
,,161 福祉相談・指導専門員,,161,福祉相談・指導専門員
,,,161-01 福祉相談員,161-01,福祉相談員
,,,161-99 他に分類されない福祉相談・指導専門員,161-99,他に分類されない福祉相談・指導専門員
,,162 福祉施設指導専門員,,162,福祉施設指導専門員
,,,162-01 老人福祉施設指導専門員,162-01,老人福祉施設指導専門員
,,,162-02 障害者福祉施設指導専門員,162-02,障害者福祉施設指導専門員
,,,162-03 児童福祉施設指導専門員,162-03,児童福祉施設指導専門員
,,163 保育士,,163,保育士
,,,163-01 保育士,163-01,保育士
,,169 その他の社会福祉の専門的職業,,169,その他の社会福祉の専門的職業
,,,169-01 介護支援専門員,169-01,介護支援専門員
,,,169-02 医療ソーシャルワーカー,169-02,医療ソーシャルワーカー
,,,169-99 他に分類されない社会福祉の専門的職業,169-99,他に分類されない社会福祉の専門的職業
,17 法務の職業,,,17,法務の職業
,,171 裁判官,,171,裁判官
,,,171-01 裁判官,171-01,裁判官
,,172 検察官,,172,検察官
,,,172-01 検察官,172-01,検察官
,,173 弁護士,,173,弁護士
,,,173-01 弁護士,173-01,弁護士
,,174 弁理士,,174,弁理士
,,,174-01 弁理士,174-01,弁理士
,,175 司法書士,,175,司法書士
,,,175-01 司法書士,175-01,司法書士
,,179 その他の法務の職業,,179,その他の法務の職業
,,,179-01 土地家屋調査士,179-01,土地家屋調査士
,,,179-99 他に分類されない法務の職業,179-99,他に分類されない法務の職業
,18 経営・金融・保険の専門的職業,,,18,経営・金融・保険の専門的職業
,,181 公認会計士,,181,公認会計士
,,,181-01 公認会計士,181-01,公認会計士
,,182 税理士,,182,税理士
,,,182-01 税理士,182-01,税理士
,,183 社会保険労務士,,183,社会保険労務士
